,verse,terminacion
290,la estabilidad de la compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
291,comprendera de la contra la contra,"[<'con':cVc>, <'tra':ccV>]"
292,desarrolla en el cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
293,temperatura de la compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
294,cambio climático de combustibles,"[<'com':cVc>, <'bus':cvs>, <'ti':cv>, <'bles':ccVs>]"
295,los cambios en el cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
296,el año 2000 a 2000 y 2007,"[<'20':cc>, <'07':cc>]"
297,2000 a 2000 y 2007 el cambio,"[<'cam':cVc>, <'bio':cvV>]"
298,la compromiso de las emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
299,comprendera de la contra el consenio,"[<'con':cVc>, <'se':sV>, <'nio':cvV>]"
300,la consecuencia de las emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
301,producción de las precipitaciones,"[<'pre':ccV>, <'ci':cv>, <'pi':cv>, <'ta':cV>, <'cio':cvV>, <'nes':cVs>]"
302,desarrollo en el cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
303,modelo de la estado como menos,"[<'me':cV>, <'nos':cVs>]"
304,la conseguida de la estanización,"[<'es':Vs>, <'ta':cV>, <'ni':cv>, <'za':cV>, <'ción':cvVc>]"
305,de la reducción de la compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
306,la contra contra el cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
307,cambio climático y en el año,"[<'a':V>, <'ño':cV>]"
308,climático y en el año 2000,"[<'20':cc>, <'00':cc>]"
309,la segunda en el cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
310,de la convención de las emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
311,el año 2000 y 2000 el cambio,"[<'cam':cVc>, <'bio':cvV>]"
312,cambio climático y se ha sido,"[<'si':sv>, <'do':cV>]"
313,la siguifica de la consecuencia,"[<'con':cVc>, <'se':sV>, <'cuen':cvVc>, <'cia':cvV>]"
314,el cambio climático es el problema,"[<'pro':ccV>, <'ble':ccV>, <'ma':cV>]"
315,de la tierra de la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
316,contra el cambio climático es el cambio,"[<'cam':cVc>, <'bio':cvV>]"
317,de las emisiones de combustibles,"[<'com':cVc>, <'bus':cvs>, <'ti':cv>, <'bles':ccVs>]"
318,la comunidad de las emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
319,economía es el cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
320,precios de la estano de consecuencia,"[<'con':cVc>, <'se':sV>, <'cuen':cvVc>, <'cia':cvV>]"
321,de la comprendera de la comprender,"[<'com':cVc>, <'pren':ccVc>, <'der':cVc>]"
322,la compromiso de la estabilidad,"[<'es':Vs>, <'ta':cV>, <'bi':cv>, <'li':cv>, <'dad':cVc>]"
323,la compromiso de la comprendencia,"[<'com':cVc>, <'pren':ccVc>, <'den':cVc>, <'cia':cvV>]"
324,la compromiso de las emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
